file, circle, x, y
002.bmp, A, 1853.10822405, 1233.05778894
002.bmp, B, 1928.2766323, 1300.38227278
001.bmp, A, 1853.09886071, 1233.05226837
001.bmp, B, 1928.17886035, 1300.39816947
003.bmp, A, 1853.09429448, 1233.09196319
003.bmp, B, 1928.26205265, 1300.41330967
004.bmp, A, 1853.08962899, 1233.05350802
004.bmp, B, 1928.20557327, 1300.45548471
005.bmp, A, 1853.11050514, 1233.08766877
005.bmp, B, 1928.21332623, 1300.3595479
